,High Date,High Price,Min Price,Min Date,Drawdown %
206,1320,37.65999984741211,37.65999984741211,1320,0.0
207,1321,37.709999084472656,37.709999084472656,1321,0.0
208,1322,37.790000915527344,37.790000915527344,1322,0.0
209,1323,37.959999084472656,37.959999084472656,1323,0.0
210,1324,38.27000045776367,38.220001220703125,1325,0.13064864505483367
211,1326,38.279998779296875,38.279998779296875,1326,0.0
212,1327,38.31999969482422,36.970001220703125,1345,3.522960555512307
213,1357,38.369998931884766,38.369998931884766,1357,0.0
214,1358,39.689998626708984,39.689998626708984,1358,0.0
215,1359,39.959999084472656,39.0099983215332,1361,2.3773793411036315
216,1366,39.959999084472656,39.959999084472656,1366,0.0
217,1367,40.099998474121094,40.099998474121094,1367,0.0
218,1368,40.13999938964844,40.13999938964844,1368,0.0
219,1369,40.5099983215332,40.5099983215332,1369,0.0
220,1370,40.599998474121094,40.599998474121094,1370,0.0
221,1371,40.75,40.75,1371,0.0
222,1372,40.959999084472656,40.959999084472656,1372,0.0
223,1373,40.9900016784668,40.77000045776367,1374,0.5367192283348889
224,1376,41.029998779296875,41.029998779296875,1376,0.0
225,1377,41.189998626708984,41.189998626708984,1377,0.0
226,1378,41.689998626708984,41.689998626708984,1378,0.0
227,1379,43.18000030517578,42.099998474121094,1388,2.5011621663310475
228,1392,43.47999954223633,43.47999954223633,1392,0.0
229,1393,43.58000183105469,43.58000183105469,1393,0.0
230,1394,43.7599983215332,41.7400016784668,1404,4.616080257188713
231,1422,43.86000061035156,43.849998474121094,1423,0.02280468785061555
232,1424,43.880001068115234,43.880001068115234,1424,0.0
233,1425,43.88999938964844,43.88999938964844,1425,0.0
234,1426,44.189998626708984,44.189998626708984,1426,0.0
235,1427,44.79999923706055,44.79999923706055,1427,0.0
236,1428,44.9900016784668,44.75,1429,0.533455589048504
237,1430,45.09000015258789,45.09000015258789,1430,0.0
238,1431,45.15999984741211,45.130001068115234,1432,0.06642776660371065
239,1433,45.38999938964844,45.38999938964844,1433,0.0
240,1434,45.38999938964844,45.38999938964844,1434,0.0
241,1435,45.630001068115234,40.79999923706055,1447,10.585145119423931
242,1470,46.40999984741211,43.11000061035156,1517,7.110534901767641
243,1550,46.70000076293945,46.70000076293945,1550,0.0
244,1551,47.130001068115234,47.060001373291016,1552,0.1485247045147544
245,1553,47.529998779296875,47.529998779296875,1553,0.0
246,1554,47.9900016784668,47.9900016784668,1554,0.0
247,1555,48.13999938964844,48.13999938964844,1555,0.0
248,1556,48.59000015258789,48.59000015258789,1556,0.0
249,1557,48.869998931884766,44.099998474121094,1605,9.760590468627022
250,1638,49.13999938964844,49.13999938964844,1638,0.0
251,1639,49.310001373291016,49.29999923706055,1640,0.020284193777951206
252,1641,49.31999969482422,49.31999969482422,1641,0.0
253,1642,49.349998474121094,49.33000183105469,1643,0.04052004799329912
254,1645,49.439998626708984,49.439998626708984,1645,0.0
255,1646,49.47999954223633,49.0,1648,0.9700880086439746
256,1650,49.619998931884766,49.619998931884766,1650,0.0
257,1651,49.63999938964844,49.63999938964844,1651,0.0
258,1652,49.63999938964844,38.97999954223633,1958,21.474617200811384
259,2191,49.779998779296875,49.56999969482422,2192,0.4218543383331566
260,2194,49.869998931884766,49.869998931884766,2194,0.0
261,2195,50.060001373291016,49.97999954223633,2196,0.1598118834598587
262,2197,50.16999816894531,50.16999816894531,2197,0.0
263,2198,50.369998931884766,50.369998931884766,2198,0.0
